funding_round_uuid,company_name,company_uuid,investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,exit_date,exit_type,price_usd,money_raised_usd,time_from_start,time_from_previous,top_investor,other_investor,top_investor_count,other_investor_count,top_investor_sum,other_investor_sum,top_investor_rounds,other_investor_rounds
7cdf13b6-075e-76ff-4fe4-4f12bfc83673,Postmates,1942485b-4e5f-ca5d-767f-db23a8fbc817,series_b,2014-02-18,16000000.0,,,,,,1072.0,336.0,1.0,1.0,7.0,20.0,20.0,27.0,7.0,8.0
0e65112f-64b9-c320-e30b-8d5739fa6348,Postmates,1942485b-4e5f-ca5d-767f-db23a8fbc817,series_c,2015-02-20,35000000.0,,,,,,1439.0,367.0,1.0,1.0,7.0,20.0,20.0,27.0,7.0,8.0
e97849a1-7b5a-b383-e2a9-81e68600f927,Postmates,1942485b-4e5f-ca5d-767f-db23a8fbc817,series_d,2015-06-25,80000000.0,500000000.0,,,,,1564.0,125.0,1.0,1.0,7.0,20.0,20.0,27.0,7.0,8.0
c0b8a7e0-f85e-b54e-7249-9d4513356533,Postmates,1942485b-4e5f-ca5d-767f-db23a8fbc817,series_d,2016-09-16,140000000.0,600000000.0,,,,,2013.0,449.0,1.0,1.0,7.0,20.0,20.0,27.0,7.0,8.0











































