first_name,last_name,country_code,state_code,city,cb_url,logo_url,twitter_url,facebook_url,linkedin_url,primary_affiliation_organization,primary_affiliation_title,primary_organization_uuid,gender,uuid,created_at,updated_at
"Mark,Zuckerberg,USA,CA,Palo Alto,https://www.crunchbase.com/person/mark-zuckerberg,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1448830269/gzcifut4c2xah95x0ewd.jpg"",https://twitter.com/finkd,https://www.facebook.com/zuck,,Facebook,Founder & CEO,df662812-7f97-0b43-9d3e-12f64f504fbb,male,a01b8d46-d311-3333-7c34-aa3ae9c03f22,2007-05-26 04:51:46,2018-02-12 23:37:44"
"Elon,Musk,USA,CA,Los Angeles,https://www.crunchbase.com/person/elon-musk,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/vihpbnatwmvqgghpublg"",http://twitter.com/elonmusk,https://www.facebook.com/ermusk,https://www.linkedin.com/company/elon-musk-news/,Tesla,""Chairman, Product Architect & CEO"",a367b036-5952-5435-7541-ad7ee8869e24,male,d3326bcc-6d25-9214-60c7-1e95c5f2f2a1,2007-12-24 13:45:24,2018-02-12 23:47:02"
"Jack,Dorsey,USA,CA,San Francisco,https://www.crunchbase.com/person/jack-dorsey,""https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1443584492/vosgqpvicpjgknz2rn2l.png"",https://twitter.com/jack,https://www.facebook.com/pages/Jack-Dorsey/144427195567802?fref=ts,https://www.linkedin.com/in/jack-dorsey-440445bb,Square,Chairman of the Board of Directors,8b03cd97-d8a0-2246-8d0d-980f092d414e,male,4b293da4-ebe8-e8dd-4a09-ed66e0ae5aa1,2007-06-01 19:46:44,2018-04-07 12:10:16"
