exit_type,1990,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,All
All,1,1,9,27,15,29,39,55,105,145,261,272,419,523,680,738,886,1039,1113,896,806,304,8363
active,0,0,6,6,6,5,11,10,23,25,65,68,104,184,296,418,574,728,933,829,770,302,5363
sold,0,1,1,9,3,7,10,18,37,36,79,70,124,123,147,143,111,117,88,45,16,0,1185
death,1,0,1,7,3,11,7,11,23,49,68,76,107,132,154,109,122,117,38,0,0,0,1036
ipo,0,0,1,5,3,6,11,16,22,35,49,58,84,84,83,68,79,77,54,22,20,2,779
