,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
4,754000000.0,40727827.897,18.934479481816727,72.0,672.0,0.0,0.0,2.0,2.0,0.0,221.1133698843919,110.83595145690877,3.0,1.0
11,534000000.0,239717367.77036774,0.9425689860951266,297.0,1747.0,1.0,1.0,1.0,4.0,0.0,508.42933119776586,205.88330584018382,4.0,3.0
23,2587000000.0,1042978481.4224501,0.5988754303717485,208.0,3225.0,17.0,1.0,9.0,21.0,0.0,557.9744963962299,227.72209486585632,8.0,7.0
26,4181000000.0,88892466.7,4.137646366578791,148.0,148.0,1.0,1.0,1.0,1.0,109.66960307193166,459.63982833323064,321.32076634017125,2.0,2.0
