DateUnix;DateLong;Close;Deflator
36528;2000-01-03;4131.149902;1.867022591
36529;2000-01-04;3901.689941;1.976822944
36530;2000-01-05;3877.540039;1.989134894
36531;2000-01-06;3727.129883;2.069407409
36532;2000-01-07;3882.620117;1.98653228
36533;2000-01-08;3882.620117;1.98653228
36534;2000-01-09;3882.620117;1.98653228
36535;2000-01-10;4049.669922;1.904587372
36536;2000-01-11;3921.189941;1.966992242
36537;2000-01-12;3850.02002;2.00335327
36538;2000-01-13;3957.209961;1.949087936
36539;2000-01-14;4064.27002;1.897745513
36540;2000-01-15;4064.27002;1.897745513
36541;2000-01-16;4064.27002;1.897745513
36542;2000-01-17;4064.27002;1.897745513
36543;2000-01-18;4130.810059;1.867176192
36544;2000-01-19;4151.290039;1.857964662
36545;2000-01-20;4189.509766;1.84101497
36546;2000-01-21;4235.399902;1.821067756
36547;2000-01-22;4235.399902;1.821067756
36548;2000-01-23;4235.399902;1.821067756
36549;2000-01-24;4096.080078;1.883007668
36550;2000-01-25;4167.410156;1.850777799
36551;2000-01-26;4069.909912;1.895115706
36552;2000-01-27;4039.560059;1.909354009
36553;2000-01-28;3887.070068;1.984258081
36554;2000-01-29;3887.070068;1.984258081
36555;2000-01-30;3887.070068;1.984258081
36556;2000-01-31;3940.350098;1.95742764
36557;2000-02-01;4051.97998;1.903501556
36558;2000-02-02;4073.959961;1.893231713
36559;2000-02-03;4210.97998;1.831628322
36560;2000-02-04;4244.140137;1.817317512
36561;2000-02-05;4244.140137;1.817317512
36562;2000-02-06;4244.140137;1.817317512
36563;2000-02-07;4321.77002;1.784673909
36564;2000-02-08;4427.5;1.74205538
36565;2000-02-09;4363.240234;1.767711559
36566;2000-02-10;4485.629883;1.719479849
36567;2000-02-11;4395.450195;1.754757727
36568;2000-02-12;4395.450195;1.754757727
36569;2000-02-13;4395.450195;1.754757727
36570;2000-02-14;4418.549805;1.74558408
36571;2000-02-15;4420.77002;1.744707406
36572;2000-02-16;4427.649902;1.741996401
36573;2000-02-17;4548.919922;1.69555638
36574;2000-02-18;4411.740234;1.748278408
36575;2000-02-19;4411.740234;1.748278408
36576;2000-02-20;4411.740234;1.748278408
36577;2000-02-21;4411.740234;1.748278408
36578;2000-02-22;4382.120117;1.760095568
36579;2000-02-23;4550.330078;1.695030924
