DateUnix;DateLong;Close;Deflator
32921;1990-02-17;429;17.97890488
32922;1990-02-18;429;17.97890488
32923;1990-02-19;429;17.97890488
32924;1990-02-20;423.799988;18.19950546
32925;1990-02-21;421.5;18.29881422
32926;1990-02-22;422.799988;18.24255065
32927;1990-02-23;419.5;18.38605529
32928;1990-02-24;419.5;18.38605529
32929;1990-02-25;419.5;18.38605529
32930;1990-02-26;421;18.32054678
32931;1990-02-27;422.600006;18.25118335
32932;1990-02-28;425.799988;18.11402164
32933;1990-03-01;427.200012;18.05465819
32934;1990-03-02;431;17.89547609
32935;1990-03-03;431;17.89547609
32936;1990-03-04;431;17.89547609
32937;1990-03-05;430.200012;17.92875402
32938;1990-03-06;432.299988;17.84166183
32939;1990-03-07;432.5;17.83341086
32940;1990-03-08;436.5;17.66998899
32941;1990-03-09;436.799988;17.6578535
32942;1990-03-10;436.799988;17.6578535
32943;1990-03-11;436.799988;17.6578535
32944;1990-03-12;436.600006;17.66594157
32945;1990-03-13;434.600006;17.74723904
32946;1990-03-14;436.200012;17.68214118
32947;1990-03-15;438.100006;17.60545558
32948;1990-03-16;442.200012;17.44222068
32949;1990-03-17;442.200012;17.44222068
32950;1990-03-18;442.200012;17.44222068
32951;1990-03-19;442.899994;17.4146541
32952;1990-03-20;440.100006;17.52544897
32953;1990-03-21;439.299988;17.55736491
32954;1990-03-22;434.5;17.75132381
32955;1990-03-23;437.299988;17.63766386
32956;1990-03-24;437.299988;17.63766386
32957;1990-03-25;437.299988;17.63766386
32958;1990-03-26;438.799988;17.57737103
32959;1990-03-27;439.5;17.54937473
32960;1990-03-28;436.700012;17.661896
32961;1990-03-29;435.399994;17.71463092
32962;1990-03-30;435.5;17.71056302
32963;1990-03-31;435.5;17.71056302
32964;1990-04-01;435.5;17.71056302
32965;1990-04-02;433.200012;17.80459368
32966;1990-04-03;437.700012;17.6215444
32967;1990-04-04;435.399994;17.71463092
32968;1990-04-05;433.420013;17.79555619
32969;1990-04-06;430.899994;17.89962939
32970;1990-04-07;430.899994;17.89962939
32971;1990-04-08;430.899994;17.89962939
32972;1990-04-09;430.200012;17.92875402
32973;1990-04-10;431.899994;17.85818546
32974;1990-04-11;433.5;17.79227265
32975;1990-04-12;436.299988;17.6780894
32976;1990-04-13;436.299988;17.6780894
32977;1990-04-14;436.299988;17.6780894
32978;1990-04-15;436.299988;17.6780894
32979;1990-04-16;436.700012;17.661896
32980;1990-04-17;435.399994;17.71463092
32981;1990-04-18;431.5;17.87473973
32982;1990-04-19;429;17.97890488
32983;1990-04-20;425.799988;18.11402164
32984;1990-04-21;425.799988;18.11402164
32985;1990-04-22;425.799988;18.11402164
32986;1990-04-23;420.100006;18.35979549
32987;1990-04-24;419.200012;18.39921272
32988;1990-04-25;420.600006;18.33796977
32989;1990-04-26;421.100006;18.31619588
32990;1990-04-27;418;18.45203396
32991;1990-04-28;418;18.45203396
32992;1990-04-29;418;18.45203396
32993;1990-04-30;420.100006;18.35979549
32994;1990-05-01;421.899994;18.28146552
32995;1990-05-02;423.600006;18.20809746
32996;1990-05-03;425.399994;18.13105384
32997;1990-05-04;428.600006;17.99568382
32998;1990-05-05;428.600006;17.99568382
32999;1990-05-06;428.600006;17.99568382
33000;1990-05-07;431.200012;17.88717528
33001;1990-05-08;431.799988;17.86232147
33002;1990-05-09;431.299988;17.883029
33003;1990-05-10;433.200012;17.80459368
33004;1990-05-11;438.100006;17.60545558
33005;1990-05-12;438.100006;17.60545558
33006;1990-05-13;438.100006;17.60545558
33007;1990-05-14;441.600006;17.46591959
33008;1990-05-15;442.5;17.43039592
33009;1990-05-16;442.899994;17.4146541
33010;1990-05-17;445.700012;17.30525014
33011;1990-05-18;448.299988;17.20488602
33012;1990-05-19;448.299988;17.20488602
33013;1990-05-20;448.299988;17.20488602
33014;1990-05-21;452.899994;17.03013976
33015;1990-05-22;453.899994;16.99262017
33016;1990-05-23;456.899994;16.88104683
33017;1990-05-24;458.299988;16.82947937
33018;1990-05-25;453.700012;17.00011019
33019;1990-05-26;453.700012;17.00011019
33020;1990-05-27;453.700012;17.00011019
33021;1990-05-28;453.700012;17.00011019
33022;1990-05-29;457.5;16.85890753
33023;1990-05-30;458.799988;16.81113862
33024;1990-05-31;459;16.80381306
33025;1990-06-01;462.100006;16.69108439
33026;1990-06-02;462.100006;16.69108439
