,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.6333333333333332,0.6144144144144145,0.6396396396396397
1,valuation,0.1640103816397979,0.16662200334730334,0.1269891858100891
2,total_sum_raised_before,0.20709620728042993,0.25378768475477537,0.22881081700325012
3,val_rate,0.152232814689704,0.1639016952870196,0.11250863969326019
4,time_from_previous,0.15789866239691688,0.13740421960710886,0.10889971256256104
5,time_from_start,0.1430200708834396,0.14749829163296954,0.10169831663370132
6,top_investor_rounds,0.11299663573585716,0.08028035565092947,0.22450393438339233
7,other_investor_rounds,0.06274522737385456,0.05050574971989384,0.0965893566608429
