iter	Passed	Remaining
405	5616	8216
406	5628	8200
407	5641	8185
408	5653	8169
409	5666	8154
410	5679	8139
411	5692	8123
412	5705	8109
413	5718	8093
414	5731	8078
415	5744	8063
416	5757	8049
417	5771	8035
418	5783	8020
419	5796	8005
420	5812	7993
421	5825	7979
422	5839	7966
423	5852	7951
424	5866	7936
425	5878	7920
426	5891	7905
427	5904	7890
428	5917	7876
429	5930	7861
430	5943	7846
431	5956	7831
432	5969	7816
433	5981	7801
434	5994	7786
435	6007	7770
436	6020	7756
437	6033	7741
438	6046	7726
439	6059	7711
440	6072	7697
441	6084	7681
442	6097	7666
443	6110	7652
444	6123	7637
445	6137	7623
446	6149	7608
447	6162	7593
448	6175	7578
449	6188	7563
450	6201	7549
451	6214	7534
452	6227	7520
453	6240	7505
454	6254	7491
455	6267	7476
456	6280	7461
457	6293	7448
458	6307	7433
459	6319	7418
460	6332	7404
461	6345	7389
462	6358	7374
463	6371	7360
464	6384	7345
465	6397	7331
466	6410	7316
467	6422	7301
468	6436	7286
469	6449	7272
470	6462	7257
471	6475	7243
472	6488	7229
473	6501	7214
474	6514	7200
475	6527	7185
476	6540	7170
477	6552	7156
478	6565	7141
479	6578	7126
480	6591	7112
481	6604	7098
482	6617	7083
483	6630	7069
484	6643	7054
485	6656	7040
486	6669	7025
487	6682	7011
488	6695	6997
489	6708	6982
490	6722	6969
491	6736	6955
492	6750	6941
493	6764	6928
494	6779	6916
495	6794	6904
496	6808	6890
497	6824	6879
498	6840	6867
499	6855	6855
500	6871	6844
501	6886	6831
502	6901	6818
503	6915	6805
504	6930	6793
505	6943	6779
506	6958	6766
507	6971	6751
508	6985	6738
509	6998	6724
510	7011	6710
511	7024	6695
512	7037	6681
513	7050	6666
514	7063	6651
515	7076	6637
516	7089	6623
517	7103	6609
518	7116	6595
519	7129	6581
520	7143	6567
521	7157	6553
522	7170	6540
523	7184	6526
524	7196	6511
525	7209	6497
526	7222	6482
527	7236	6468
528	7249	6454
529	7262	6440
530	7276	6426
531	7291	6414
532	7305	6400
533	7319	6387
534	7333	6373
535	7350	6363
536	7364	6349
537	7381	6338
538	7394	6324
539	7407	6310
540	7424	6298
541	7437	6284
542	7452	6272
543	7466	6258
544	7481	6246
545	7495	6232
546	7509	6218
547	7522	6204
548	7536	6190
549	7548	6176
550	7562	6162
551	7575	6148
552	7588	6133
553	7600	6118
554	7612	6103
555	7625	6089
556	7638	6074
557	7651	6060
558	7663	6046
559	7676	6031
560	7690	6018
561	7703	6003
562	7716	5989
563	7730	5975
564	7743	5961
565	7756	5947
566	7769	5933
567	7782	5919
568	7795	5904
569	7808	5890
570	7821	5876
571	7834	5862
572	7848	5848
573	7862	5835
574	7876	5821
575	7889	5807
576	7902	5793
577	7915	5779
578	7928	5764
579	7941	5750
580	7954	5736
581	7967	5722
582	7981	5708
583	7994	5694
584	8007	5680
585	8020	5666
586	8033	5651
587	8046	5637
588	8059	5623
589	8071	5609
590	8085	5595
591	8098	5581
592	8111	5567
593	8124	5552
594	8137	5538
595	8150	5524
596	8163	5510
597	8176	5496
598	8189	5482
599	8202	5468
600	8215	5454
601	8228	5440
602	8241	5425
603	8254	5411
604	8267	5397
605	8279	5383
606	8292	5369
607	8305	5354
608	8318	5340
609	8331	5326
610	8344	5312
611	8357	5298
612	8371	5285
613	8385	5271
614	8399	5258
615	8412	5244
616	8425	5230
617	8439	5216
618	8452	5202
619	8465	5188
620	8480	5175
621	8494	5162
622	8507	5148
623	8522	5135
624	8538	5123
625	8553	5110
626	8571	5099
627	8586	5086
628	8600	5072
629	8615	5059
630	8629	5046
631	8643	5033
632	8657	5019
633	8670	5005
634	8683	4991
635	8696	4977
636	8709	4963
637	8722	4949
638	8735	4935
639	8748	4921
640	8761	4907
641	8774	4893
642	8787	4878
643	8800	4865
644	8813	4851
645	8826	4836
646	8839	4822
647	8852	4808
648	8865	4794
649	8877	4780
650	8891	4766
651	8903	4752
652	8917	4738
653	8930	4724
654	8944	4711
655	8957	4697
656	8972	4684
657	8987	4671
658	9003	4659
659	9017	4645
660	9032	4632
661	9048	4619
662	9062	4606
663	9078	4593
664	9093	4580
665	9107	4567
666	9121	4553
667	9136	4540
668	9150	4527
669	9165	4514
670	9180	4501
671	9194	4487
672	9210	4475
673	9224	4461
674	9240	4449
675	9253	4435
676	9268	4421
677	9284	4409
678	9298	4395
679	9314	4383
680	9329	4370
681	9344	4357
682	9360	4344
683	9374	4330
684	9389	4317
685	9404	4304
686	9418	4291
687	9431	4277
688	9445	4263
689	9460	4250
690	9473	4236
691	9489	4223
692	9504	4210
693	9519	4197
694	9532	4183
695	9546	4169
696	9561	4156
697	9575	4142
698	9590	4129
699	9604	4116
700	9618	4102
701	9633	4089
702	9648	4076
703	9663	4063
704	9679	4050
705	9693	4036
706	9707	4022
707	9720	4009
708	9733	3995
709	9746	3980
710	9759	3966
711	9772	3952
712	9785	3938
713	9798	3924
714	9811	3910
715	9824	3896
716	9838	3883
717	9850	3869
718	9863	3854
719	9877	3841
720	9889	3827
721	9903	3813
722	9917	3799
723	9931	3785
724	9946	3772
725	9960	3759
726	9973	3745
727	9986	3731
728	9999	3717
729	10011	3702
730	10024	3688
731	10037	3674
732	10049	3660
733	10062	3646
734	10075	3632
735	10087	3618
736	10100	3604
737	10112	3590
738	10125	3576
739	10138	3562
740	10150	3548
741	10163	3534
742	10176	3520
743	10190	3506
744	10204	3492
745	10220	3479
746	10234	3466
747	10248	3452
748	10261	3438
749	10275	3425
750	10288	3411
751	10301	3397
752	10314	3383
753	10327	3369
754	10340	3355
755	10353	3341
756	10365	3327
757	10379	3313
758	10392	3299
759	10404	3285
760	10417	3271
761	10431	3258
762	10445	3244
763	10459	3230
764	10475	3218
765	10489	3204
766	10504	3191
767	10519	3177
768	10532	3163
769	10545	3150
770	10559	3136
771	10572	3122
772	10585	3108
773	10597	3094
774	10610	3080
775	10622	3066
776	10635	3052
777	10648	3038
778	10661	3024
779	10674	3010
780	10687	2996
781	10699	2982
782	10712	2968
783	10726	2955
784	10738	2941
785	10751	2927
786	10764	2913
787	10777	2899
788	10789	2885
789	10802	2871
790	10815	2857
791	10828	2843
792	10841	2830
793	10854	2816
794	10866	2802
795	10879	2788
796	10892	2774
797	10905	2760
798	10918	2746
799	10931	2732
800	10944	2718
801	10958	2705
802	10971	2691
803	10984	2677
804	10998	2664
805	11011	2650
806	11024	2636
807	11036	2622
808	11049	2608
809	11062	2594
810	11075	2581
811	11087	2567
812	11101	2553
813	11113	2539
814	11126	2525
815	11139	2511
816	11152	2497
817	11164	2484
818	11178	2470
819	11192	2456
820	11206	2443
821	11219	2429
822	11234	2416
823	11248	2402
824	11265	2389
825	11279	2376
826	11294	2362
827	11310	2349
828	11323	2335
829	11338	2322
830	11353	2308
831	11367	2295
832	11382	2281
833	11397	2268
834	11411	2254
835	11425	2241
836	11438	2227
837	11451	2213
838	11465	2200
839	11478	2186
840	11491	2172
841	11505	2158
842	11518	2145
843	11530	2131
844	11542	2117
845	11555	2103
846	11567	2089
847	11579	2075
848	11592	2061
849	11605	2048
850	11618	2034
851	11631	2020
852	11644	2006
853	11657	1993
854	11670	1979
855	11683	1965
856	11696	1951
857	11708	1937
858	11721	1923
859	11734	1910
860	11746	1896
861	11759	1882
862	11772	1868
863	11784	1855
864	11797	1841
865	11810	1827
866	11823	1813
867	11836	1799
868	11849	1786
869	11861	1772
870	11874	1758
871	11887	1744
872	11900	1731
873	11913	1717
874	11925	1703
875	11938	1689
876	11950	1676
877	11963	1662
878	11975	1648
879	11989	1634
880	12003	1621
881	12017	1607
882	12030	1594
883	12044	1580
884	12057	1566
885	12071	1553
886	12085	1539
887	12089	1524
888	12102	1511
889	12115	1497
890	12128	1483
891	12142	1470
892	12155	1456
893	12168	1442
894	12182	1429
