iter	CrossEntropy
0	0.6514671476
1	0.6185219965
2	0.5868305017
3	0.5476106802
4	0.5226866041
5	0.492831424
6	0.4678413711
7	0.4424833007
8	0.4233867618
9	0.4023022585
10	0.3904532674
11	0.371193701
12	0.3578723711
13	0.3433658884
14	0.3282525362
15	0.3186400788
16	0.3071334902
17	0.2943259336
18	0.2853766433
19	0.2768415508
20	0.2657392033
21	0.2562339495
22	0.2517020122
23	0.2454953986
24	0.2372728199
25	0.2288996445
26	0.2222949092
27	0.2160526979
28	0.2093281501
29	0.204387569
30	0.1986253383
31	0.1951898002
32	0.1865424872
33	0.1824520446
34	0.1750158915
35	0.169619861
36	0.1669053193
37	0.1624740809
38	0.1586371301
39	0.1558207564
40	0.1514262615
41	0.1463136253
42	0.1432425091
43	0.1391943647
44	0.1365320391
45	0.1327597845
46	0.1296119918
47	0.1265534944
48	0.1233742283
49	0.1206046876
50	0.1187356511
51	0.11619383
52	0.1145595382
53	0.1111967389
54	0.1077610973
55	0.1063723063
56	0.1045724903
57	0.10195756
58	0.1003932297
59	0.09839806172
60	0.09598622584
61	0.09471906781
62	0.0925576296
63	0.09128734107
64	0.08928220684
65	0.08782621246
66	0.08564083858
67	0.08376867256
68	0.08199390812
69	0.08017619146
70	0.07871776709
71	0.07757931333
72	0.07615957745
73	0.0751643813
74	0.07458484224
75	0.07348042254
76	0.07215149586
77	0.07097822852
78	0.06909735043
79	0.06825372006
80	0.06699737647
81	0.06552798426
82	0.06480626809
83	0.06383101092
84	0.06236007405
85	0.06119603266
86	0.06049603835
87	0.05981760714
88	0.05925973184
89	0.05820103953
90	0.05710516222
91	0.05635153422
92	0.05579196075
93	0.05485247257
94	0.0536407194
95	0.05264644471
96	0.05173690943
97	0.05089928261
98	0.05011582623
99	0.04945313769
100	0.04897789225
101	0.04804795896
102	0.04759316442
103	0.04697270618
104	0.04641630456
105	0.04564554035
106	0.04521101256
107	0.04474210148
108	0.04408956464
109	0.04361030095
110	0.04305452381
111	0.04231211926
112	0.0417213363
113	0.04092176532
114	0.04027143334
115	0.04002526342
116	0.03952754865
117	0.03889450023
118	0.03855115574
119	0.03799901343
120	0.03754293276
121	0.03718029678
122	0.03659661666
123	0.0362674475
124	0.03590595131
125	0.0356726213
126	0.03512945793
127	0.03477113113
128	0.03438913701
129	0.03390783936
130	0.03352276001
131	0.03333247034
132	0.03299605613
133	0.03263407156
134	0.03223746547
135	0.03198024427
136	0.03159261172
137	0.03115599123
138	0.03076553207
139	0.0303964121
140	0.03021220711
141	0.02983705603
142	0.02953419936
143	0.02923764001
144	0.02886398309
145	0.02850208052
146	0.02837145388
147	0.0280267209
148	0.02781123672
149	0.02764898093
150	0.02730927482
151	0.02718026026
152	0.02698374564
153	0.02663507765
154	0.0263665225
155	0.02607055127
156	0.02585418818
157	0.02562134165
158	0.02541619303
159	0.02514278916
160	0.02498664549
161	0.0246460198
162	0.02450198122
