,Organization Name,SVR,Gradient_Boosting,XGBoost_Regressor,LGBM_Regressor,CatBoost_Regressor
0,0x,17.825822101923116,17.891953846772097,17.794796,17.821366570065003,17.785901724061667
1,10 Federal,17.267599179578493,17.01532721382352,16.988573,16.741401648211752,17.010775638489797
2,Redox,17.427946320380745,17.334937351186078,17.242537,17.276770927469148,17.26759138479806
