Index,Organization Name,Announced Date,Money Raised,Pre-Money Valuation,Total Funding Amount,Lead Investors,Funding Type,Organization Industries,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Org_Code,Round_Code
"59974,Traackr,20/07/2011,1000000,,16727913,,Series A,""Advertising,Market Research,Search Engine,Social Media"",7,,,/organization/traackr,/funding_round/traackr-series-a--72359d2b"
"59975,Cvent,20/07/2011,136000000,,621911999,New Enterprise Associates,Venture - Series Unknown,""Business Intelligence,Event Management,Events,Hospitality,Information Technology,Meeting Software,Procurement,Software"",6,3,3,/organization/cvent,/funding_round/cvent-series-unknown--9e6bb8fb"
"59976,Acquia,20/07/2011,15000000,,173500000,North Bridge Venture Partners & Growth Equity,Series D,""Computer,Content,Digital Marketing,Enterprise Software,Open Source,SaaS,Software"",10,3,2,/organization/acquia,/funding_round/acquia-series-d--38f0821e"
