industry,time_from_start,time_from_previous,investor_rate,Uni_Deflator_3M,Log Money Raised,Log total_sum_raised,time_to_next,Uni_Deflator_3M Target,best_investor
5.0,0.0,0.0,3,4.62988170953887,16.52355809239626,16.52355809239626,445.0,4.71268017670251,3
2.0,0.0,0.0,0,3.80713926708897,15.943146848493779,15.943146848493779,546.0,4.08185683000588,0
2.0,546.0,546.0,0,4.08185683000588,17.014958885166376,17.309408657137464,245.0,4.52129617747816,0
