,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7306122448979593,0.6923469387755101,0.7193877551020408
1,val_log,0.11941505718404635,0.12533091315519757,0.09108903259038925
2,sum_raised_log,0.16060580546914255,0.180773173375496,0.15782634913921356
3,industry,0.05844261642167611,0.0539735055652635,0.13068458437919617
4,val_rate,0.09747822435321993,0.09919814115508985,0.07494911551475525
5,time_from_previous,0.09998217359277711,0.06070403230845937,0.07702834904193878
6,time_from_start,0.10047624981402692,0.10396525379854757,0.082191102206707
7,top_investor_rounds,0.08672449720293571,0.07941992977879031,0.1300506889820099
8,other_investor_rounds,0.05022826792306314,0.03388612033015086,0.055139705538749695
9,Deflator_1M,0.22664710803911214,0.26274893053300497,0.2010410577058792
