,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.7324742268041238,0.711340206185567,0.7164948453608248,0.7319587628865979,0.6958762886597938
1,F1,0.7279056215687923,0.7051991750786932,0.7111399185453642,0.7270562770562771,0.6751525471831985
2,val_log,0.11604618783772924,0.1187741607427597,0.10587311386964264,0.13078957796096802,42.0
3,sum_raised_log,0.15502353136870092,0.1176622062921524,0.14457325536597324,0.11965548247098923,62.0
4,industry,0.04583963367158099,0.09341037273406982,0.0477616207067882,0.09904745221138,37.0
5,val_rate,0.06684422930081746,0.04865645617246628,0.09432166084869159,0.05424556881189346,7.0
6,time_from_previous,0.05924718060145166,0.054876863956451416,0.07816872425704188,0.054844941943883896,21.0
7,time_from_start,0.06238993418720218,0.05878753587603569,0.08133758041738963,0.056474775075912476,13.0
8,top_investor_count,0.0980855999184446,0.13633489608764648,0.06823917590057527,0.1556425839662552,61.0
9,other_investor_count,0.030497897671216717,0.05537409335374832,0.040570421670866136,0.052120890468358994,12.0
10,Deflator,0.3124056691250441,0.26729562878608704,0.2739993042731958,0.22316858172416687,41.0
11,60dd_unicorn_premium,0.053620136317812137,0.04882781580090523,0.0651551426898356,0.05401013791561127,4.0
