,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7352040816326532,0.7081632653061225,0.7448979591836735
1,val_log,0.1168097875274586,0.10124995681871081,0.0965704470872879
2,sum_raised_log,0.16685063894049573,0.18059567675429072,0.14662429690361023
3,industry,0.06479171713377592,0.0567229425682894,0.1271592378616333
4,val_rate,0.0824399721247153,0.093110561507721,0.06058637052774429
5,time_from_previous,0.08540309356594969,0.09151306627342351,0.06886681169271469
6,time_from_start,0.0860033826456206,0.11099064803829325,0.059666186571121216
7,top_investor_rounds,0.0923358568225553,0.07065565211004163,0.13932578265666962
8,other_investor_rounds,0.04205624368977401,0.03242802973628369,0.05973666161298752
9,Deflator_6M,0.26330930754965487,0.26273346619294596,0.24146419763565063
