,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.7314432989690722,0.7216494845360825,0.7077319587628866,0.7422680412371134,0.7216494845360825
1,F1,0.7275557612420414,0.7157277759687399,0.6996986219249369,0.7389104220499569,0.7117226197028068
2,val_log,0.11108573726812396,0.12330671399831772,0.0889343188114727,0.12806236743927002,67.0
3,sum_raised_log,0.1427799332395639,0.11737050116062164,0.14059122584070255,0.14337009191513062,117.0
4,industry,0.04628311418728147,0.09615485370159149,0.0532476530531252,0.07832252979278564,85.0
5,val_rate,0.07458477135645676,0.05049436539411545,0.08484468059145106,0.051581546664237976,44.0
6,time_from_previous,0.06940122835659505,0.05531725287437439,0.08071542255597883,0.06194429472088814,50.0
7,time_from_start,0.07286347971400461,0.057765185832977295,0.07894941375803106,0.05337758734822273,50.0
8,top_investor_count,0.09149118112324602,0.14012236893177032,0.06881534607727763,0.14068257808685303,107.0
9,other_investor_count,0.033704636624391486,0.058395255357027054,0.04167511449937474,0.044983599334955215,20.0
10,Deflator,0.28668400624103735,0.25354257225990295,0.277961365672267,0.2398870289325714,96.0
11,30dd_unicorn_premium,0.07112191188929948,0.04753090441226959,0.08426545914031913,0.057788364589214325,42.0
