,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7086734693877551,0.689795918367347,0.7346938775510204
1,val_log,0.11235777323011342,0.11085237186073875,0.09129022806882858
2,sum_raised_log,0.1777126300274565,0.20274390363925082,0.1291818469762802
3,industry,0.0694160612521442,0.054316011784093655,0.12836189568042755
4,val_rate,0.08328075898763641,0.10445457309844344,0.06959636509418488
5,time_from_previous,0.08339181050606,0.08364846486136783,0.07504785805940628
6,time_from_start,0.08517561054865437,0.10060059422917447,0.07657427340745926
7,top_investor_rounds,0.09242200038505671,0.07011246608594912,0.1487804800271988
8,other_investor_rounds,0.038210708162879484,0.03215685965370357,0.06316455453634262
9,Deflator_9M,0.25803264689999894,0.24111475478727834,0.2180025577545166
