,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.6653061224489797,0.6724489795918367,0.6989795918367347
1,val_log,0.1634164817857485,0.1739192509538625,0.13194358348846436
2,sum_raised_log,0.20448554302254954,0.22635291017646192,0.17613853514194489
3,industry,0.09413624199514109,0.0665010794454463,0.21758171916007996
4,val_rate,0.12054706262517705,0.11291151954750518,0.07673314213752747
5,time_from_previous,0.12724451071477777,0.1495488934453635,0.0785798728466034
6,time_from_start,0.12431043091355373,0.14965628043246798,0.07074490189552307
7,top_investor_rounds,0.10554330750244516,0.07630960659930117,0.17934739589691162
8,other_investor_rounds,0.06031642144060719,0.044800459399591555,0.06893083453178406
