iter	Passed	Remaining
400	25215	6225
401	25278	6162
402	25345	6100
403	25408	6037
404	25509	5983
405	25576	5921
406	25645	5860
407	25723	5800
408	25789	5737
409	25855	5675
410	25923	5613
411	25989	5551
412	26054	5488
413	26125	5427
414	26198	5365
415	26273	5305
416	26350	5244
417	26424	5183
418	26492	5121
419	26554	5058
420	26616	4994
421	26676	4930
422	26737	4867
423	26797	4803
424	26856	4739
425	26916	4675
426	26979	4612
427	27039	4548
428	27099	4484
429	27158	4421
430	27220	4357
431	27280	4294
432	27341	4230
433	27402	4167
434	27469	4104
435	27529	4040
436	27588	3977
437	27647	3913
438	27707	3850
439	27766	3786
440	27828	3723
441	27887	3659
442	27948	3596
443	28007	3532
444	28066	3468
445	28125	3405
446	28186	3342
447	28247	3278
448	28306	3215
449	28365	3151
450	28427	3088
451	28490	3025
452	28551	2962
453	28612	2899
454	28673	2835
455	28734	2772
456	28794	2709
457	28854	2646
458	28915	2582
459	28976	2519
460	29037	2456
461	29100	2393
462	29161	2330
463	29222	2267
464	29282	2204
465	29343	2140
466	29405	2077
467	29470	2015
468	29531	1951
469	29592	1888
470	29653	1825
471	29713	1762
472	29773	1699
473	29835	1636
474	29895	1573
475	29956	1510
476	30019	1447
477	30080	1384
478	30140	1321
479	30201	1258
480	30262	1195
481	30324	1132
482	30387	1069
483	30451	1006
484	30512	943
485	30572	880
486	30634	817
487	30695	754
488	30757	691
489	30819	628
490	30879	566
491	30942	503
492	31005	440
493	31065	377
494	31127	314
495	31188	251
496	31250	188
497	31311	125
498	31370	62
499	31431	0
