iter	RMSE
307	0.7393247077
308	0.738824791
309	0.7384331438
310	0.7378119308
311	0.7371990408
312	0.7367846878
313	0.7364760094
314	0.7358906871
315	0.7354081313
316	0.7350907953
317	0.7345433703
318	0.7342913086
319	0.7338214324
320	0.733327894
321	0.7327783955
322	0.732357102
323	0.7317517433
324	0.7311564856
325	0.7307831375
326	0.7302760369
327	0.7298365476
328	0.7292771127
329	0.7288055362
330	0.7283316803
331	0.7277902471
332	0.7272266139
333	0.7267494127
334	0.7263007088
335	0.7258607233
336	0.7254491089
337	0.7247843348
338	0.7245581686
339	0.7241554485
340	0.7236560082
341	0.723314172
342	0.7225643654
343	0.7218834855
344	0.7213401802
345	0.7208147293
346	0.720192122
347	0.7198049346
348	0.7194325228
349	0.7189434502
350	0.7182900602
351	0.7177343376
352	0.7173063706
353	0.7170070595
354	0.7163960143
355	0.7161396691
356	0.7156134592
357	0.7152395064
358	0.7148550371
359	0.7144139455
360	0.7141572894
361	0.7138545445
362	0.7134960332
363	0.7131169398
364	0.7127671427
365	0.7122463815
366	0.7117194741
367	0.7111530957
368	0.7106938501
369	0.7104696857
370	0.710219637
371	0.7098440275
372	0.7095252472
373	0.709213682
374	0.7086220631
375	0.7081204152
376	0.7073396627
377	0.7070406867
378	0.706801138
379	0.7064586435
380	0.7060172089
381	0.7055722272
382	0.7051832188
383	0.7045847926
384	0.7041185766
385	0.7035468668
386	0.7031222367
387	0.702781495
388	0.7024099266
389	0.7021995123
390	0.7016572813
391	0.7013436335
392	0.7009316625
393	0.7005150055
394	0.7000805675
395	0.6997246947
396	0.6992296774
397	0.6985473789
398	0.6978687079
399	0.6975159852
400	0.6971972823
401	0.696798806
402	0.6962229777
403	0.6956254125
404	0.6952876096
405	0.6949041554
406	0.6944727453
407	0.6940764026
408	0.6935365406
409	0.6930355045
410	0.6923580836
411	0.6920358146
412	0.6916978697
413	0.6910039327
414	0.6906682239
415	0.6902547897
416	0.6897813654
417	0.689329876
418	0.6888086664
419	0.6883593251
420	0.6880028376
421	0.6875716524
422	0.6873844452
423	0.6867206183
424	0.6860920911
425	0.685781776
426	0.6855289101
427	0.6852821346
428	0.6850188116
429	0.684697112
430	0.6840783408
431	0.6835953843
432	0.6830190383
433	0.6826688029
434	0.6823305517
435	0.6819093605
436	0.6816112455
437	0.6811613685
438	0.6808293882
439	0.6803218346
440	0.6798501702
441	0.6794721349
442	0.6789529948
443	0.6786315858
444	0.6782568186
445	0.6779714389
446	0.6774624767
447	0.6772017608
448	0.6768387839
449	0.6764805651
450	0.6760349547
451	0.6755802706
452	0.6751896019
453	0.6748685439
454	0.6743284358
455	0.674005785
456	0.6736048417
457	0.673148419
458	0.6728904778
459	0.6725622705
460	0.6720544315
461	0.6716413245
462	0.6713537085
463	0.6710581979
464	0.6707696941
465	0.6703632321
466	0.6700123674
467	0.6697726041
468	0.669518899
469	0.6691742835
470	0.6688877623
471	0.6685249305
472	0.6680574376
473	0.6677975209
474	0.6675084179
475	0.6673510592
476	0.6669637332
477	0.6667505875
478	0.6665039169
479	0.6662021999
480	0.6657826542
481	0.6656236263
482	0.6653036575
483	0.6648898934
484	0.6645193822
485	0.6641925666
486	0.6638692284
487	0.663409509
488	0.6631638812
489	0.6625885941
490	0.6621557485
491	0.6617566858
492	0.6615219698
493	0.6610256531
494	0.6605570405
495	0.6601294597
496	0.6596585561
497	0.6592243718
498	0.6589088972
499	0.6583969239
